PE Product No.;Product No.;Description;Category
PE91066313-RA;9106-6313-RA;UTF Broach, Reduced, ML 0 mm, #13 (line to line);UTF-r
PE91066314-RA;9106-6314-RA;UTF Broach, Reduced, ML 0 mm, #14 (line to line);UTF-r
PE91064001-RA;9106-4001-RA;Femoral Cutting Chisel;UTF-r
PE91061101-RC;9106-1101-RC;Straight Broach Handle;UTF-r
PE91061301-RC;9106-1301-RC;Offset Broach Handle;UTF-r
PE91068702;9106-8702;Hip Stem Basic Case;UTF-r
PE91061106-RC;9106-1106-RC;Straight stem impactor;UTF-r
PE91061107-RC;9106-1107-RC;Curved stem impactor;UTF-r
PE91161102;9116-1102;Modular T-handle;UTF-r
PE91066101;9106-6101;Canal finder rasp;UTF-r
PE91063072;9106-3072;Starter reamer;UTF-r
PE91163001-RB;9116-3001-RB;Femoral head extractor;UTF-r
PE91061311;9106-1311;UTF Stem, reduced, quick connect holder;UTF-r
PE91161302;9116-1302;Quick connect holder, offset;UTF-r
PE91065101;9106-5101;Sliding rod;UTF-r
PE91065302;9106-5302;UTF Stem, reduced, extractor;UTF-r
PE91065003;9106-5003;Stem extractor wrench;UTF-r
PE91065001;9106-5001;Hammer;UTF-r
PE94017012;9401-7012;Caliper;UTF-r
PE12062122-RB;1206-2122-RB;U2 Femoral head trial, Ø22mm, +0mm;UTF-r
PE12062322-RB;1206-2322-RB;U2 Femoral head trial, Ø22mm, +3mm;UTF-r
PE12062522-RB;1206-2522-RB;U2 Femoral head trial, Ø22mm, +6mm;UTF-r
PE12062722-RB;1206-2722-RB;U2 Femoral head trial, Ø22mm, +9mm;UTF-r
PE12062128-RB;1206-2128-RB;U2 Femoral Head Trial, Ø 28 mm, +0 mm;UTF-r
PE12062228-RB;1206-2228-RB;U2 Femoral head trial, φ28mm, +2.5mm;UTF-r
PE12062428-RB;1206-2428-RB;U2 Femoral Head Trial, Ø 28 mm, +5 mm;UTF-r
PE12062628-RB;1206-2628-RB;U2 Femoral head trial, φ28mm, +7.5mm;UTF-r
PE12062828-RB;1206-2828-RB;U2 Femoral Head Trial, Ø 28 mm, +10 mm;UTF-r
PE12062032-RB;1206-2032-RB;U2 Femoral Head Trial, Ø 32 mm, -3 mm;UTF-r
PE12062132-RB;1206-2132-RB;U2 Femoral Head Trial, Ø 32 mm, +0 mm;UTF-r
PE12062232-RB;1206-2232-RB;U2 Femoral head trial, φ32mm, +2.5mm;UTF-r
PE12062432-RB;1206-2432-RB;U2 Femoral Head Trial, Ø 32 mm, +5 mm;UTF-r
PE12062632-RB;1206-2632-RB;U2 Femoral head trial, φ32mm, +7.5mm;UTF-r
PE12062832-RB;1206-2832-RB;U2 Femoral Head Trial, Ø 32 mm, +10 mm;UTF-r
PE12062036-RB;1206-2036-RB;U2 Femoral Head Trial, Ø 36 mm, -3 mm;UTF-r
PE12062136-RB;1206-2136-RB;U2 Femoral Head Trial, Ø 36 mm, +0 mm;UTF-r
PE12062236-RB;1206-2236-RB;U2 Femoral head trial, φ36mm, +2.5mm;UTF-r
PE12062436-RB;1206-2436-RB;U2 Femoral Head Trial, Ø 36 mm, +5 mm;UTF-r
PE12062636-RB;1206-2636-RB;U2 Femoral head trial, φ36mm, +7.5mm;UTF-r
PE12062836-RB;1206-2836-RB;U2 Femoral Head Trial, Ø 36 mm, +10 mm;UTF-r
PE12036028-RB;1203-6028-RB;Ceramic Femoral Head Trial, Ø 28 mm, S, -2.5 mm;UTF-r
PE12036228-RB;1203-6228-RB;Ceramic Femoral Head Trial, Ø 28 mm, M, +1 mm;UTF-r
PE12036428-RB;1203-6428-RB;Ceramic Femoral Head Trial, Ø 28 mm, L, +5 mm;UTF-r
PE12036032-RB;1203-6032-RB;Ceramic Femoral Head Trial, Ø 32 mm, S, -3 mm;UTF-r
PE12036232-RB;1203-6232-RB;Ceramic Femoral Head Trial, Ø 32 mm, M, +1 mm;UTF-r
PE12036432-RB;1203-6432-RB;Ceramic Femoral Head Trial, Ø 32 mm, L, +5 mm;UTF-r
PE12036632-RB;1203-6632-RB;Ceramic Femoral Head Trial, Ø 32 mm, XL, +8 mm;UTF-r
PE12036036-RB;1203-6036-RB;Ceramic Femoral Head Trial, Ø 36 mm, S, -3 mm;UTF-r
PE12036236-RB;1203-6236-RB;Ceramic Femoral Head Trial, Ø 36 mm, M, +1 mm;UTF-r
PE12036436-RB;1203-6436-RB;Ceramic Femoral Head Trial, Ø 36 mm, L, +5 mm;UTF-r
PE12036636-RB;1203-6636-RB;Ceramic Femoral Head Trial, Ø 36 mm, XL, +9 mm;UTF-r
PE12036040-RB;1203-6040-RB;Ceramic femoral head trial, Delta, Ø40mm, S, -3mm;UTF-r
PE12036240-RB;1203-6240-RB;Ceramic femoral head trial, Delta, Ø40mm, M, +1mm;UTF-r
PE12036440-RB;1203-6440-RB;Ceramic femoral head trial, Delta, Ø40mm, L, +5mm;UTF-r
PE12036640-RB;1203-6640-RB;Ceramic femoral head trial, Delta, Ø40mm, XL, +9mm;UTF-r
PE92061110;9206-1110;Universal handle, short;UTF-r
PE91049001-RA;9104-9001-RA;Femoral head remover;UTF-r
PE92041222-RB;9204-1222-RB;Femoral head impactor;UTF-r
PE91161103;9116-1103;Pusher;UTF-r
PE91068030;9106-8030;UTF Stem Case #3;UTF-r
PE91061501;9106-1501;Dual offset broach handle, left;UTF-r
PE91061502;9106-1502;Dual offset broach handle, right;UTF-r
PE91168101-RA;9116-8101-RA;UTS Stem, case #1;UTS
PE91165010;9116-5010;UTS Neck trial, standard, #0~#00 ;UTS
PE91165011;9116-5011;UTS Neck trial, standard, #1~#4;UTS
PE91165012;9116-5012;UTS Neck trial, standard, #5~#8;UTS
PE91165013;9116-5013;UTS Neck trial, standard, #9~#11;UTS
PE91165014;9116-5014;UTS Neck trial, standard, #12~#14;UTS
PE91165021;9116-5021;UTS Neck trial, high offset, #1~#4;UTS
PE91165022;9116-5022;UTS Neck trial, high offset, #5~#8;UTS
PE91165023;9116-5023;UTS Neck trial, high offset, #9~#11;UTS
PE91165024;9116-5024;UTS Neck trial, high offset, #12~#14;UTS
PE91166097;9116-6097;UTS Starter broach, #0~#00;UTS
PE91166098;9116-6098;UTS Starter broach;UTS
PE91166099;9116-6099;UTS Broach, ML 0mm, #00;UTS
PE91166000;9116-6000;UTS Broach, ML 0mm, #0;UTS
PE91166001;9116-6001;UTS Broach, ML 0mm, #1;UTS
PE91166002;9116-6002;UTS Broach, ML 0mm, #2;UTS
PE91166003;9116-6003;UTS Broach, ML 0mm, #3;UTS
PE91166004;9116-6004;UTS Broach, ML 0mm, #4;UTS
PE91166005;9116-6005;UTS Broach, ML 0mm, #5;UTS
PE91166006;9116-6006;UTS Broach, ML 0mm, #6;UTS
PE91166007;9116-6007;UTS Broach, ML 0mm, #7;UTS
PE91166008;9116-6008;UTS Broach, ML 0mm, #8;UTS
PE91166009;9116-6009;UTS Broach, ML 0mm, #9;UTS
PE91166010;9116-6010;UTS Broach, ML 0mm, #10;UTS
PE91166011;9116-6011;UTS Broach, ML 0mm, #11;UTS
PE91166012;9116-6012;UTS Broach, ML 0mm, #12;UTS
PE91166013;9116-6013;UTS Broach, ML 0mm, #13;UTS
PE91166014;9116-6014;UTS Broach, ML 0mm, #14;UTS
PE91161102;9116-1102;Modular T-handle;UTS
PE91163003-RA;9116-3003-RA;UTS Calcar reamer, #00~#7;UTS
PE91163004;9116-3004;UTS calcar reamer, #8~#14;UTS
PE91066101;9106-6101;Canal finder rasp;UTS
PE91162001;9116-2001;UTS Neck resection guide;UTS
PE94017012;9401-7012;Caliper;UTS
PE91063072;9106-3072;Starter reamer;UTS
PE91163001-RB;9116-3001-RB;Femoral head extractor;UTS
PE91164001;9116-4001;Femoral cutting chisel;UTS
PE12062122-RB;1206-2122-RB;U2 Femoral head trial, Ø22mm, +0mm;UTS
PE12062322-RB;1206-2322-RB;U2 Femoral head trial, Ø22mm, +3mm;UTS
PE12062522-RB;1206-2522-RB;U2 Femoral head trial, Ø22mm, +6mm;UTS
PE12062722-RB;1206-2722-RB;U2 Femoral head trial, Ø22mm, +9mm;UTS
PE12062026-RB;1206-2026-RB;U2 Femoral Head Trial, Ø 26 mm, -2 mm;UTS
PE12062126-RB;1206-2126-RB;U2 Femoral Head Trial, Ø 26 mm, +0 mm;UTS
PE12062326-RB;1206-2326-RB;U2 Femoral Head Trial, Ø 26 mm, +3 mm;UTS
PE12062526-RB;1206-2526-RB;U2 Femoral Head Trial, Ø 26 mm, +6 mm;UTS
PE12062726-RB;1206-2726-RB;U2 Femoral Head Trial, Ø 26 mm, +9 mm;UTS
PE12062028-RB;1206-2028-RB;U2 Femoral Head Trial, Ø 28 mm, -3 mm;UTS
PE12062128-RB;1206-2128-RB;U2 Femoral Head Trial, Ø 28 mm, +0 mm;UTS
PE12062228-RB;1206-2228-RB;U2 Femoral head trial, φ28mm, +2.5mm;UTS
PE12062428-RB;1206-2428-RB;U2 Femoral Head Trial, Ø 28 mm, +5 mm;UTS
PE12062628-RB;1206-2628-RB;U2 Femoral head trial, φ28mm, +7.5mm;UTS
PE12062828-RB;1206-2828-RB;U2 Femoral Head Trial, Ø 28 mm, +10 mm;UTS
PE12062032-RB;1206-2032-RB;U2 Femoral Head Trial, Ø 32 mm, -3 mm;UTS
PE12062132-RB;1206-2132-RB;U2 Femoral Head Trial, Ø 32 mm, +0 mm;UTS
PE12062232-RB;1206-2232-RB;U2 Femoral head trial, φ32mm, +2.5mm;UTS
PE12062432-RB;1206-2432-RB;U2 Femoral Head Trial, Ø 32 mm, +5 mm;UTS
PE12062632-RB;1206-2632-RB;U2 Femoral head trial, φ32mm, +7.5mm;UTS
PE12062832-RB;1206-2832-RB;U2 Femoral Head Trial, Ø 32 mm, +10 mm;UTS
PE12062036-RB;1206-2036-RB;U2 Femoral Head Trial, Ø 36 mm, -3 mm;UTS
PE12062136-RB;1206-2136-RB;U2 Femoral Head Trial, Ø 36 mm, +0 mm;UTS
PE12062236-RB;1206-2236-RB;U2 Femoral head trial, φ36mm, +2.5mm;UTS
PE12062436-RB;1206-2436-RB;U2 Femoral Head Trial, Ø 36 mm, +5 mm;UTS
PE12062636-RB;1206-2636-RB;U2 Femoral head trial, φ36mm, +7.5mm;UTS
PE12062836-RB;1206-2836-RB;U2 Femoral Head Trial, Ø 36 mm, +10 mm;UTS
PE12036028-RB;1203-6028-RB;Ceramic Femoral Head Trial, Ø 28 mm, S, -2.5 mm;UTS
PE12036228-RB;1203-6228-RB;Ceramic Femoral Head Trial, Ø 28 mm, M, +1 mm;UTS
PE12036428-RB;1203-6428-RB;Ceramic Femoral Head Trial, Ø 28 mm, L, +5 mm;UTS
PE12036032-RB;1203-6032-RB;Ceramic Femoral Head Trial, Ø 32 mm, S, -3 mm;UTS
PE12036232-RB;1203-6232-RB;Ceramic Femoral Head Trial, Ø 32 mm, M, +1 mm;UTS
PE12036432-RB;1203-6432-RB;Ceramic Femoral Head Trial, Ø 32 mm, L, +5 mm;UTS
PE12036632-RB;1203-6632-RB;Ceramic Femoral Head Trial, Ø 32 mm, XL, +8 mm;UTS
PE12036036-RB;1203-6036-RB;Ceramic Femoral Head Trial, Ø 36 mm, S, -3 mm;UTS
PE12036236-RB;1203-6236-RB;Ceramic Femoral Head Trial, Ø 36 mm, M, +1 mm;UTS
PE12036436-RB;1203-6436-RB;Ceramic Femoral Head Trial, Ø 36 mm, L, +5 mm;UTS
PE12036636-RB;1203-6636-RB;Ceramic Femoral Head Trial, Ø 36 mm, XL, +9 mm;UTS
PE12036040-RB;1203-6040-RB;Ceramic femoral head trial, Delta, Ø40mm, S, -3mm;UTS
PE12036240-RB;1203-6240-RB;Ceramic femoral head trial, Delta, Ø40mm, M, +1mm;UTS
PE12036440-RB;1203-6440-RB;Ceramic femoral head trial, Delta, Ø40mm, L, +5mm;UTS
PE12036640-RB;1203-6640-RB;Ceramic femoral head trial, Delta, Ø40mm, XL, +9mm;UTS
PE92061110;9206-1110;Universal handle, short;UTS
PE91049001-RA;9104-9001-RA;Femoral head remover;UTS
PE92041222-RB;9204-1222-RB;Femoral head impactor;UTS
PE91161103;9116-1103;Pusher;UTS
PE91168102-RA;9116-8102-RA;UTS Stem, case #2;UTS
PE91061311;9106-1311;UTF Stem, reduced, quick connect holder;UTS
PE91161302;9116-1302;Quick connect holder, offset;UTS
PE91061106-RC;9106-1106-RC;Straight stem impactor;UTS
PE91061107-RC;9106-1107-RC;Curved stem impactor;UTS
PE91161101;9116-1101;Straight broach handle;UTS
PE91161301-RA;9116-1301-RA;Offset broach handle;UTS
PE91065101;9106-5101;Sliding rod;UTS
PE91065001;9106-5001;Hammer;UTS
PE91065302;9106-5302;UTF Stem, reduced, extractor;UTS
PE91065003;9106-5003;Stem extractor wrench;UTS
PE91162101;9116-2101;Femoral alignment guide;UTS
PE91162104;9116-2104;Alignment rod;UTS
PE91168103;9116-8103;UTS Stem case #3;UTS
PE91161501-RA;9116-1501-RA;Dual offset broach handle, left;UTS
PE91161502-RA;9116-1502-RA;Dual offset broach handle, right;UTS
PE99018104;9901-8104;Tray lid;Accessories
PE91108301;9110-8301;Conformity Femoral Prep Trial;Conformity
PE91105010;9110-5010;Neck trial, STD, 135° (for RB version Head trial);Conformity
PE91105020;9110-5020;"Neck trial, high offset, 135°
(for RB version Head trial)";Conformity
PE91105030;9110-5030;"Neck trial, coxa vara, 125°
(for RB version Head trial)";Conformity
PE91105040;9110-5040;"Neck trial, short neck, 135°
(for RB version Head trial)";Conformity
PE91102002;9110-2002;Neck template;Conformity
PE91102003;9110-2003;Neck template ruler;Conformity
PE91106098;9110-6098;Starter broach;Conformity
PE91106001;9110-6001;Broach,  #1;Conformity
PE91106002;9110-6002;Broach, #2;Conformity
PE91106003;9110-6003;Broach, #3;Conformity
PE91106004;9110-6004;Broach, #4;Conformity
PE91106005;9110-6005;Broach, #5;Conformity
PE91106006;9110-6006;Broach, #6;Conformity
PE91106007;9110-6007;Broach, #7;Conformity
PE91106008;9110-6008;Broach, #8;Conformity
PE91106009;9110-6009;Broach, #9;Conformity
PE91106010;9110-6010;Broach, #10;Conformity
PE91106011;9110-6011;Broach, #11;Conformity
PE91106001-RA;9110-6001-RA;Sharp Broach,  #1;Conformity
PE91106002-RA;9110-6002-RA;Sharp Broach, #2;Conformity
PE91106003-RA;9110-6003-RA;Sharp Broach, #3;Conformity
PE91106004-RA;9110-6004-RA;Sharp Broach, #4;Conformity
PE91106005-RA;9110-6005-RA;Sharp Broach, #5;Conformity
PE91106006-RA;9110-6006-RA;Sharp Broach, #6;Conformity
PE91106007-RA;9110-6007-RA;Sharp Broach, #7;Conformity
PE91106008-RA;9110-6008-RA;Sharp Broach, #8;Conformity
PE91106009-RA;9110-6009-RA;Sharp Broach, #9;Conformity
PE91106010-RA;9110-6010-RA;Sharp Broach, #10;Conformity
PE91106011-RA;9110-6011-RA;Sharp Broach, #11;Conformity
PE91104001;9110-4001;Femoral cutting chisel, modular;Conformity
PE91102001;9110-2001;Neck resection guide;Conformity
PE91103002;9110-3002;Calcar reamer, small;Conformity
PE91103003;9110-3003;Calcar reamer, large;Conformity
PE12062122-RB;1206-2122-RB;U2 Femoral head trial, Ø22mm, +0mm;Conformity
PE12062322-RB;1206-2322-RB;U2 Femoral head trial, Ø22mm, +3mm;Conformity
PE12062522-RB;1206-2522-RB;U2 Femoral head trial, Ø22mm, +6mm;Conformity
PE12062722-RB;1206-2722-RB;U2 Femoral head trial, Ø22mm, +9mm;Conformity
PE12062026-RB;1206-2026-RB;U2 Femoral Head Trial, Ø 26 mm, -2 mm;Conformity
PE12062126-RB;1206-2126-RB;U2 Femoral Head Trial, Ø 26 mm, +0 mm;Conformity
PE12062326-RB;1206-2326-RB;U2 Femoral Head Trial, Ø 26 mm, +3 mm;Conformity
PE12062526-RB;1206-2526-RB;U2 Femoral Head Trial, Ø 26 mm, +6 mm;Conformity
PE12062726-RB;1206-2726-RB;U2 Femoral Head Trial, Ø 26 mm, +9 mm;Conformity
PE12062028-RB;1206-2028-RB;U2 Femoral Head Trial, Ø 28 mm, -3 mm;Conformity
PE12062128-RB;1206-2128-RB;U2 Femoral Head Trial, Ø 28 mm, +0 mm;Conformity
PE12062228-RB;1206-2228-RB;U2 Femoral head trial, φ28mm, +2.5mm;Conformity
PE12062428-RB;1206-2428-RB;U2 Femoral Head Trial, Ø 28 mm, +5 mm;Conformity
PE12062628-RB;1206-2628-RB;U2 Femoral head trial, φ28mm, +7.5mm;Conformity
PE12062828-RB;1206-2828-RB;U2 Femoral Head Trial, Ø 28 mm, +10 mm;Conformity
PE12062032-RB;1206-2032-RB;U2 Femoral Head Trial, Ø 32 mm, -3 mm;Conformity
PE12062132-RB;1206-2132-RB;U2 Femoral Head Trial, Ø 32 mm, +0 mm;Conformity
PE12062232-RB;1206-2232-RB;U2 Femoral head trial, φ32mm, +2.5mm;Conformity
PE12062432-RB;1206-2432-RB;U2 Femoral Head Trial, Ø 32 mm, +5 mm;Conformity
PE12062632-RB;1206-2632-RB;U2 Femoral head trial, φ32mm, +7.5mm;Conformity
PE12062832-RB;1206-2832-RB;U2 Femoral Head Trial, Ø 32 mm, +10 mm;Conformity
PE12062036-RB;1206-2036-RB;U2 Femoral Head Trial, Ø 36 mm, -3 mm;Conformity
PE12062136-RB;1206-2136-RB;U2 Femoral Head Trial, Ø 36 mm, +0 mm;Conformity
PE12062236-RB;1206-2236-RB;U2 Femoral head trial, φ36mm, +2.5mm;Conformity
PE12062436-RB;1206-2436-RB;U2 Femoral Head Trial, Ø 36 mm, +5 mm;Conformity
PE12062636-RB;1206-2636-RB;U2 Femoral head trial, φ36mm, +7.5mm;Conformity
PE12062836-RB;1206-2836-RB;U2 Femoral Head Trial, Ø 36 mm, +10 mm;Conformity
PE12036028-RB;1203-6028-RB;Ceramic Femoral Head Trial, Ø 28 mm, S, -2.5 mm;Conformity
PE12036228-RB;1203-6228-RB;Ceramic Femoral Head Trial, Ø 28 mm, M, +1 mm;Conformity
PE12036428-RB;1203-6428-RB;Ceramic Femoral Head Trial, Ø 28 mm, L, +5 mm;Conformity
PE12036032-RB;1203-6032-RB;Ceramic Femoral Head Trial, Ø 32 mm, S, -3 mm;Conformity
PE12036232-RB;1203-6232-RB;Ceramic Femoral Head Trial, Ø 32 mm, M, +1 mm;Conformity
PE12036432-RB;1203-6432-RB;Ceramic Femoral Head Trial, Ø 32 mm, L, +5 mm;Conformity
PE12036632-RB;1203-6632-RB;Ceramic Femoral Head Trial, Ø 32 mm, XL, +8 mm;Conformity
PE12036036-RB;1203-6036-RB;Ceramic Femoral Head Trial, Ø 36 mm, S, -3 mm;Conformity
PE12036236-RB;1203-6236-RB;Ceramic Femoral Head Trial, Ø 36 mm, M, +1 mm;Conformity
PE12036436-RB;1203-6436-RB;Ceramic Femoral Head Trial, Ø 36 mm, L, +5 mm;Conformity
PE12036636-RB;1203-6636-RB;Ceramic Femoral Head Trial, Ø 36 mm, XL, +9 mm;Conformity
PE12036040-RB;1203-6040-RB;Ceramic femoral head trial, Delta, Ø40mm, S, -3mm;Conformity
PE12036240-RB;1203-6240-RB;Ceramic femoral head trial, Delta, Ø40mm, M, +1mm;Conformity
PE12036440-RB;1203-6440-RB;Ceramic femoral head trial, Delta, Ø40mm, L, +5mm;Conformity
PE12036640-RB;1203-6640-RB;Ceramic femoral head trial, Delta, Ø40mm, XL, +9mm;Conformity
PE92061110;9206-1110;Universal handle, short;Conformity
PE91049001-RA;9104-9001-RA;Femoral head remover;Conformity
PE92041222-RB;9204-1222-RB;Femoral head impactor;Conformity
PE91161103;9116-1103;Pusher;Conformity
PE99018104;9901-8104;Tray lid;Conformity
PE91108302;9110-8302;Conformity Femoral Prep;Conformity
PE91061106-RC;9106-1106-RC;Straight stem impactor;Conformity
PE91061107-RC;9106-1107-RC;Curved stem impactor;Conformity
PE91066101;9106-6101;Canal finder rasp;Conformity
PE91161102;9116-1102;Modular T-handle;Conformity
PE91063072;9106-3072;Starter reamer;Conformity
PE91163001-RB;9116-3001-RB;Femoral head extractor;Conformity
PE91061311;9106-1311;UTF Stem, reduced, quick connect holder;Conformity
PE91161302;9116-1302;Quick connect holder, offset;Conformity
PE94017012;9401-7012;Caliper;Conformity
PE91101102;9110-1102;Restrictor inserter;Conformity
PE91107008;9110-7008;Canal Sizer, Ø8 mm;Conformity
PE91107010;9110-7010;Canal Sizer, Ø10mm;Conformity
PE91107012;9110-7012;Canal Sizer, Ø12mm;Conformity
PE91107014;9110-7014;Canal Sizer, Ø14mm;Conformity
PE91107016;9110-7016;Canal Sizer, Ø16mm;Conformity
PE91107018;9110-7018;Canal Sizer, Ø18mm;Conformity
PE99018104;9901-8104;Tray lid;Conformity
PE91108303;9110-8303;Conformity Straight/Offset Broach Handle;Conformity
PE91101101-RA;9110-1101-RA;Straight broach handle;Conformity
PE91101301-RA;9110-1301-RA;Offset Broach Handle;Conformity
PE99018104;9901-8104;Tray lid;Conformity
PE91108304;9110-8304;Conformity Dual Offset Broach Handle;Conformity
PE91101501-RA;9110-1501-RA;Dual offset broach handle, left;Conformity
PE91101502-RA;9110-1502-RA;Dual offset broach handle, right;Conformity
PE91101701;9110-1701;Conformity stem extractor;Conformity
PE93035311;9303-5311;Sliding hammer;Conformity
PE99098110-RA;9909-8110-RA;RepliCase hip case;Replicase
PE99095009;9909-5009;Cememt spacer mold, S, 42mm;Replicase
PE99095010;9909-5010;Cememt spacer mold, M, 45mm;Replicase
PE99095011;9909-5011;Cememt spacer mold, L, 48mm;Replicase
PE99095046;9909-5046;Acetabular cup molder, 46mm;Replicase
PE99095049;9909-5049;Acetabular cup molder, 49mm;Replicase
PE99095052;9909-5052;Acetabular cup molder, 52mm;Replicase
PE99091101;9909-1101;Acetabular cup molder handle;Replicase
PE91065001;9106-5001;Hammer;Replicase
PE91065101;9106-5101;Sliding rod;Replicase
PE91065003;9106-5003;Stem extractor wrench;Replicase
PE91065302;9106-5302;UTF Stem, reduced, extractor;Replicase
PE99018104;9901-8104;Tray lid;Accessories
PE92088110;9208-8110;Locking cage tray, #1;Cage
PE97211041-RB;9721-1041-RB;Ratcheting handle;Cage
PE92034125-RA;9203-4125-RA;Flexible drill, 25mm;Cage
PE92034150-RA;9203-4150-RA;Flexible drill, 50mm;Cage
PE92034175-RA;9203-4175-RA;Flexible drill, 75mm;Cage
PE92083101;9208-3101;Straight drill, 4mm;Cage
PE92087001;9208-7001;Hook sizing template;Cage
PE92085001;9208-5001;Flange bender;Cage
PE92081102;9208-1102;Screwdriver, T20;Cage
PE92081103;9208-1103;Universal screw driver, T20;Cage
PE92061114;9206-1114;Universal screw driver;Cage
PE92065106;9206-5106;Screw forceps;Cage
PE92061113;9206-1113;Straight screw driver;Cage
PE92089101;9208-9101;Nut holder;Cage
PE92067101;9206-7101;Depth gauge;Cage
PE92087101;9208-7101;Depth gauge, 75mm;Cage
PE92082101;9208-2101;Flange drill guide;Cage
PE92012201-RB;9201-2201-RB;Drill guide;Cage
PE99018104;9901-8104;Tray lid;Cage
PE92088120;9208-8120;Locking cage tray, #2;Cage
PE13082150;1308-2150;Locking cage trial, OD50mm, left;Cage
PE13082154;1308-2154;Locking cage trial, OD54mm, left;Cage
PE13082158;1308-2158;Locking cage trial, OD58mm, left;Cage
PE13082162;1308-2162;Locking cage trial, OD62mm, left;Cage
PE13082166;1308-2166;Locking cage trial, OD66mm, left;Cage
PE13082170;1308-2170;Locking cage trial, OD70mm, left;Cage
PE13082250;1308-2250;Locking cage trial, OD50mm, right;Cage
PE13082254;1308-2254;Locking cage trial, OD54mm, right;Cage
PE13082258;1308-2258;Locking cage trial, OD58mm, right;Cage
PE13082262;1308-2262;Locking cage trial, OD62mm, right;Cage
PE13082266;1308-2266;Locking cage trial, OD66mm, right;Cage
PE13082270;1308-2270;Locking cage trial, OD70mm, right;Cage
PE92089050;9208-9050;Nut guide, OD50mm;Cage
PE92089054;9208-9054;Nut guide, OD54mm;Cage
PE92089058;9208-9058;Nut guide, OD58mm;Cage
PE92089062;9208-9062;Nut guide, OD62mm;Cage
PE92089066;9208-9066;Nut guide, OD66mm;Cage
PE92089070;9208-9070;Nut guide, OD70mm;Cage
PE92061103-RH;9206-1103-RH;Cup impactor;Cage
PE92061118;9206-1118;Cup impactor driver;Cage
PE19086201;1908-6201;Hook trial, small;Cage
PE19086202;1908-6202;Hook trial, medium;Cage
PE19086203;1908-6203;Hook trial, large;Cage
PE92089002;9208-9002;Nut guide peg;Cage
PE99018104;9901-8104;Tray lid;Accessories
PE92078110;9207-8110;UDM Tray, #1, cup reamer;UDM
PE92034042;9203-4042;Cup reamer, 42mm;UDM
PE92034044;9203-4044;Cup reamer, 44mm;UDM
PE92034046;9203-4046;Cup reamer, 46mm;UDM
PE92034048;9203-4048;Cup reamer, 48mm;UDM
PE92034050;9203-4050;Cup reamer, 50mm;UDM
PE92034052;9203-4052;Cup reamer, 52mm;UDM
PE92034054;9203-4054;Cup reamer, 54mm;UDM
PE92034056;9203-4056;Cup reamer, 56mm;UDM
PE92034058;9203-4058;Cup reamer, 58mm;UDM
PE92034060;9203-4060;Cup reamer, 60mm;UDM
PE92034062;9203-4062;Cup reamer, 62mm;UDM
PE92079058;9207-9058;Cup holder adaptor, OD58mm;UDM
PE92079060;9207-9060;Cup holder adaptor, OD60mm;UDM
PE92079062;9207-9062;Cup holder adaptor, OD62mm;UDM
PE92079046;9207-9046;Cup holder adaptor, OD46mm;UDM
PE92079048;9207-9048;Cup holder adaptor, OD48mm;UDM
PE92079050;9207-9050;Cup holder adaptor, OD50mm;UDM
PE92079052;9207-9052;Cup holder adaptor, OD52mm;UDM
PE92079054;9207-9054;Cup holder adaptor, OD54mm;UDM
PE92079056;9207-9056;Cup holder adaptor, OD56mm;UDM
PE92031201-RA;9203-1201-RA;Cup reamer handle;UDM
PE92075101;9207-5101;DM press;UDM
PE92075103;9207-5103;Press baseplate;UDM
PE92075002;9207-5002;DM Liner holder;UDM
PE99018104;9901-8104;Tray lid;Accessories
PE92078120;9207-8120;UDM Tray, #2, cup trial;UDM
PE92061112;9206-1112;Universal handle, long;UDM
PE92071105;9207-1105;Cup trial handle;UDM
PE12072646;1207-2646;DM Liner trial, OD46mm, ID28mm;UDM
PE12072648;1207-2648;DM Liner trial, OD48mm, ID28mm;UDM
PE12072650;1207-2650;DM Liner trial, OD50mm, ID28mm;UDM
PE12072652;1207-2652;DM Liner trial, OD52mm, ID28mm;UDM
PE12072654;1207-2654;DM Liner trial, OD54mm, ID28mm;UDM
PE12072656;1207-2656;DM Liner trial, OD56mm, ID28mm;UDM
PE12072658;1207-2658;DM Liner trial, OD58mm, ID28mm;UDM
PE12072660;1207-2660;DM Liner trial, OD60mm, ID28mm;UDM
PE12072662;1207-2662;DM Liner trial, OD62mm, ID28mm;UDM
PE13072046;1307-2046;DM cup trial, OD46mm;UDM
PE13072048;1307-2048;DM cup trial, OD48mm;UDM
PE13072050;1307-2050;DM cup trial, OD50mm;UDM
PE13072052;1307-2052;DM cup trial, OD52mm;UDM
PE13072054;1307-2054;DM cup trial, OD54mm;UDM
PE13072056;1307-2056;DM cup trial, OD56mm;UDM
PE13072058;1307-2058;DM cup trial, OD58mm;UDM
PE13072060;1307-2060;DM cup trial, OD60mm;UDM
PE13072062;1307-2062;DM cup trial, OD62mm;UDM
PE92071103;9207-1103;Cup positioner, straight;UDM
PE92071303;9207-1303;Cup positioner, offset;UDM
PE92065104;9206-5104;Alignment rod;UDM
PE92065102;9206-5102;Alignment tower, lateral;UDM
PE92072004;9207-2004;Alignment guide, short;UDM
PE92041236-RA;9204-1236-RA;Femoral head impactor, 36mm;UDM
PE92065099-RA;9206-5099-RA;Final cup impactor, large;UDM
PE99018104;9901-8104;Tray lid;UDM
